case_id,split,block,family,tier,valid_record_count,unique_hypothesis_count,oracle_exact,proposer_oracle_exact,correct_support_rank,raw_plurality_exact,strategy_plurality_exact,lens_plurality_exact
S035,search,search-b03,AFFINE,stress,307,113,1,1,1,1,1,1
S036,search,search-b03,POLY,stress,307,180,1,1,1,1,1,1
S037,search,search-b04,LAGPOLY,stress,307,142,1,1,6,0,0,0
S038,search,search-b04,INTERLEAVE,hard,302,82,1,1,1,1,1,0
S039,search,search-b04,GROWBLOCK,very-hard,307,125,1,1,8,0,0,0
S040,search,search-b04,INTERLEAVE,very-hard,307,138,1,1,1,1,1,1
S041,search,search-b04,LAGPOLY,hard,297,18,1,1,1,1,1,1
S042,search,search-b04,INTERLEAVE,stress,307,167,0,0,,0,0,0
S043,search,search-b04,LAGPOLY,very-hard,307,160,1,1,1,1,1,1
S044,search,search-b04,MODAFFINE,very-hard,307,184,1,1,11,0,0,0
S045,search,search-b04,GROWBLOCK,hard,307,57,1,1,6,0,0,0
S046,search,search-b04,GROWBLOCK,stress,307,62,1,1,13,0,0,0
S047,search,search-b04,MODAFFINE,hard,307,182,0,0,,0,0,0
S048,search,search-b04,MODAFFINE,stress,307,184,0,0,,0,0,0
S049,search,search-b05,POLY,stress,307,118,1,1,1,1,1,1
S050,search,search-b05,PDELTA,very-hard,307,158,1,1,1,1,1,0
S051,search,search-b05,AFFINE,hard,260,11,1,1,1,1,1,1
S052,search,search-b05,POLY,hard,291,45,1,1,1,1,1,1
S053,search,search-b05,PDELTA,stress,307,172,0,0,,0,0,0
S054,search,search-b05,PDELTA,hard,281,12,1,1,1,1,1,1
S055,search,search-b05,LIN2,very-hard,307,181,0,0,,0,0,0
S056,search,search-b05,AFFINE,very-hard,296,53,1,1,1,1,1,1
S057,search,search-b05,LIN2,hard,307,114,1,1,1,1,1,1
S058,search,search-b05,LIN2,stress,307,182,0,0,,0,0,0
S059,search,search-b05,AFFINE,stress,307,73,1,1,3,0,0,0
S060,search,search-b05,POLY,very-hard,294,86,1,1,1,1,1,1
S061,search,search-b06,LAGPOLY,stress,307,161,0,0,,0,0,0
S062,search,search-b06,LAGPOLY,hard,260,5,1,1,1,1,1,1
S063,search,search-b06,MODAFFINE,stress,307,178,0,0,,0,0,0
S064,search,search-b06,INTERLEAVE,stress,307,182,1,1,1,1,1,1
S065,search,search-b06,INTERLEAVE,hard,307,117,1,1,1,1,1,1
S066,search,search-b06,LAGPOLY,very-hard,307,171,1,1,1,1,1,1
S067,search,search-b06,INTERLEAVE,very-hard,307,116,1,1,1,1,1,1
S068,search,search-b06,MODAFFINE,very-hard,307,150,0,0,,0,0,0
S069,search,search-b06,GROWBLOCK,hard,297,38,1,1,3,0,0,0
S070,search,search-b06,GROWBLOCK,very-hard,297,88,1,1,2,0,0,0
S071,search,search-b06,MODAFFINE,hard,307,174,0,0,,0,0,0
S072,search,search-b06,GROWBLOCK,stress,307,72,1,1,7,0,0,0
V001,validation,validation-b01,LIN2,stress,176,45,1,1,1,1,1,1
V002,validation,validation-b01,POLY,hard,176,13,1,1,1,1,1,1
V003,validation,validation-b01,POLY,very-hard,176,35,1,1,1,1,0,1
V004,validation,validation-b01,LIN2,hard,176,37,1,1,1,1,1,1
V005,validation,validation-b01,PDELTA,very-hard,176,122,1,1,1,1,1,1
V006,validation,validation-b01,AFFINE,very-hard,176,52,1,1,2,0,0,1
V007,validation,validation-b01,PDELTA,stress,176,115,1,1,10,0,1,0
V008,validation,validation-b01,POLY,stress,176,69,1,1,1,1,1,1
V009,validation,validation-b01,PDELTA,hard,176,27,1,1,1,1,1,1
V010,validation,validation-b01,AFFINE,hard,176,2,1,1,1,1,1,1
V011,validation,validation-b01,AFFINE,stress,176,35,1,1,1,1,0,1
V012,validation,validation-b01,LIN2,very-hard,176,113,1,1,14,0,0,0
V013,validation,validation-b02,INTERLEAVE,hard,176,82,1,1,1,1,1,1
V014,validation,validation-b02,MODAFFINE,stress,176,114,0,0,,0,0,0
V015,validation,validation-b02,LAGPOLY,stress,176,115,0,0,,0,0,0
V016,validation,validation-b02,MODAFFINE,very-hard,176,100,0,0,,0,0,0
V017,validation,validation-b02,LAGPOLY,very-hard,176,94,1,1,1,1,1,1
V018,validation,validation-b02,GROWBLOCK,very-hard,176,80,1,1,26,0,0,0
V019,validation,validation-b02,LAGPOLY,hard,176,1,1,1,1,1,1,1
V020,validation,validation-b02,GROWBLOCK,hard,176,38,1,1,2,0,0,0
V021,validation,validation-b02,INTERLEAVE,stress,176,107,1,1,1,1,0,1
V022,validation,validation-b02,MODAFFINE,hard,176,112,0,0,,0,0,0
V023,validation,validation-b02,INTERLEAVE,very-hard,176,85,1,1,2,0,0,0
V024,validation,validation-b02,GROWBLOCK,stress,176,77,1,1,3,0,0,0
V025,validation,validation-b03,LIN2,hard,176,7,1,1,1,1,1,1
V026,validation,validation-b03,PDELTA,stress,176,116,1,1,7,0,0,0
V027,validation,validation-b03,PDELTA,hard,176,6,1,1,1,1,1,1
V028,validation,validation-b03,PDELTA,very-hard,176,75,1,1,1,1,1,1
V029,validation,validation-b03,POLY,hard,176,38,1,1,1,1,0,1
V030,validation,validation-b03,POLY,very-hard,176,47,1,1,1,1,1,1
V031,validation,validation-b03,LIN2,stress,176,117,0,0,,0,0,0
V032,validation,validation-b03,AFFINE,very-hard,176,42,1,1,1,1,1,1
V033,validation,validation-b03,POLY,stress,176,79,1,1,1,1,1,1
V034,validation,validation-b03,AFFINE,stress,176,28,1,1,1,1,0,1
V035,validation,validation-b03,LIN2,very-hard,176,61,1,1,1,1,1,1
V036,validation,validation-b03,AFFINE,hard,176,10,1,1,1,1,1,1
V037,validation,validation-b04,INTERLEAVE,hard,176,37,1,1,1,1,1,1
V038,validation,validation-b04,MODAFFINE,stress,176,106,0,0,,0,0,0
V039,validation,validation-b04,LAGPOLY,stress,176,115,0,0,,0,0,0
V040,validation,validation-b04,LAGPOLY,very-hard,176,109,1,1,1,1,1,1
V041,validation,validation-b04,INTERLEAVE,very-hard,176,106,1,1,1,1,1,1
V042,validation,validation-b04,INTERLEAVE,stress,176,109,1,1,1,1,0,1
V043,validation,validation-b04,GROWBLOCK,stress,176,42,1,1,1,1,1,1
V044,validation,validation-b04,MODAFFINE,very-hard,176,110,0,0,,0,0,0
V045,validation,validation-b04,LAGPOLY,hard,176,4,1,1,1,1,1,1
V046,validation,validation-b04,MODAFFINE,hard,176,111,1,1,1,1,0,1
V047,validation,validation-b04,GROWBLOCK,hard,176,71,1,1,1,1,0,0
V048,validation,validation-b04,GROWBLOCK,very-hard,176,21,1,1,3,0,0,0
V049,validation,validation-b05,PDELTA,hard,176,15,1,1,1,1,1,1
V050,validation,validation-b05,AFFINE,stress,176,29,1,1,2,0,0,0
V051,validation,validation-b05,POLY,very-hard,176,49,1,1,1,1,1,1
V052,validation,validation-b05,AFFINE,hard,176,5,1,1,1,1,1,1
V053,validation,validation-b05,LIN2,hard,176,36,1,1,1,1,1,1
V054,validation,validation-b05,LIN2,very-hard,176,117,1,1,1,1,0,1
V055,validation,validation-b05,LIN2,stress,176,117,0,0,,0,0,0
V056,validation,validation-b05,POLY,stress,176,94,1,1,1,1,1,1
V057,validation,validation-b05,PDELTA,very-hard,176,10,1,1,2,0,1,0
V058,validation,validation-b05,AFFINE,very-hard,176,63,1,1,1,1,1,1
V059,validation,validation-b05,POLY,hard,176,36,1,1,1,1,0,1
V060,validation,validation-b05,PDELTA,stress,176,108,1,1,4,0,0,0
V061,validation,validation-b06,INTERLEAVE,hard,176,13,1,1,1,1,0,1
V062,validation,validation-b06,GROWBLOCK,very-hard,176,88,1,1,8,0,0,0
V063,validation,validation-b06,LAGPOLY,stress,176,112,0,0,,0,0,0
V064,validation,validation-b06,INTERLEAVE,very-hard,176,114,1,1,11,0,0,0
V065,validation,validation-b06,MODAFFINE,hard,176,112,0,0,,0,0,0
V066,validation,validation-b06,MODAFFINE,stress,176,114,0,0,,0,0,0
V067,validation,validation-b06,MODAFFINE,very-hard,176,113,0,0,,0,0,0
V068,validation,validation-b06,GROWBLOCK,stress,176,69,1,1,16,0,0,0
V069,validation,validation-b06,INTERLEAVE,stress,176,114,1,1,1,1,0,1
V070,validation,validation-b06,LAGPOLY,hard,176,19,1,1,1,1,1,1
V071,validation,validation-b06,LAGPOLY,very-hard,176,90,1,1,1,1,1,1
V072,validation,validation-b06,GROWBLOCK,hard,176,71,1,1,3,0,0,0
